ticket	task_label	phase	minutes	dollars	model	provenance	source_file
TOO-19	corrective change	planning	16	0.4	Sonnet 5	E	TOO-19/TOO-19 Corrective Change Implementation Report.md
TOO-19	corrective change	implementation	9	0.5	Sonnet 5	E	TOO-19/TOO-19 Corrective Change Implementation Report.md
TOO-19	corrective change	self_review	3	0.175	Sonnet 5	E	TOO-19/TOO-19 Corrective Change Implementation Report.md
TOO-19	corrective change	report	2	0.1	Sonnet 5	E	TOO-19/TOO-19 Corrective Change Implementation Report.md
TOO-19	corrective change	TOTAL	29	1.175	Sonnet 5	E	TOO-19/TOO-19 Corrective Change Implementation Report.md
TOO-19	fail-open config parse failure ASK floor	planning	19	0.675	Sonnet 5	E	TOO-19/TOO-19 Fail-Open Config Parse Failure ASK-Floor Implementation Report.md
TOO-19	fail-open config parse failure ASK floor	implementation	13	0.625	Sonnet 5	E	TOO-19/TOO-19 Fail-Open Config Parse Failure ASK-Floor Implementation Report.md
TOO-19	fail-open config parse failure ASK floor	self_review	6	0.275	Sonnet 5	E	TOO-19/TOO-19 Fail-Open Config Parse Failure ASK-Floor Implementation Report.md
TOO-19	fail-open config parse failure ASK floor	report	3	0.125	Sonnet 5	E	TOO-19/TOO-19 Fail-Open Config Parse Failure ASK-Floor Implementation Report.md
TOO-19	fail-open config parse failure ASK floor	TOTAL	41	1.7	Sonnet 5	E	TOO-19/TOO-19 Fail-Open Config Parse Failure ASK-Floor Implementation Report.md
TOO-19	Phase 0a RuleEntry.raw sentinel fix + coverage	planning	4		Sonnet 5	M	TOO-19/TOO-19 Phase 0a - RuleEntry.raw sentinel fix + coverage - Implementation Report.md
TOO-19	Phase 0a RuleEntry.raw sentinel fix + coverage	implementation	2		Sonnet 5	M	TOO-19/TOO-19 Phase 0a - RuleEntry.raw sentinel fix + coverage - Implementation Report.md
TOO-19	Phase 0a RuleEntry.raw sentinel fix + coverage	self_review	1		Sonnet 5	M	TOO-19/TOO-19 Phase 0a - RuleEntry.raw sentinel fix + coverage - Implementation Report.md
TOO-19	Phase 0a RuleEntry.raw sentinel fix + coverage	report	1		Sonnet 5	E	TOO-19/TOO-19 Phase 0a - RuleEntry.raw sentinel fix + coverage - Implementation Report.md
TOO-19	Phase 0a RuleEntry.raw sentinel fix + coverage	TOTAL	8		Sonnet 5	M	TOO-19/TOO-19 Phase 0a - RuleEntry.raw sentinel fix + coverage - Implementation Report.md
TOO-19	Phase 0a increment 0	planning	15		Sonnet-class	E	TOO-19/TOO-19 Phase 0a increment 0 - Coder Implementation Report.md
TOO-19	Phase 0a increment 0	implementation	35		Sonnet-class	E	TOO-19/TOO-19 Phase 0a increment 0 - Coder Implementation Report.md
TOO-19	Phase 0a increment 0	self_review	10		Sonnet-class	E	TOO-19/TOO-19 Phase 0a increment 0 - Coder Implementation Report.md
TOO-19	Phase 0a increment 0	report	5		Sonnet-class	E	TOO-19/TOO-19 Phase 0a increment 0 - Coder Implementation Report.md
TOO-19	Phase 0a increment 0	TOTAL	65	3.0	Sonnet-class	E	TOO-19/TOO-19 Phase 0a increment 0 - Coder Implementation Report.md
TOO-19	Phase 0a increment 1	planning	2	0.05	Sonnet 5	M	TOO-19/TOO-19 Phase 0a increment 1 - implementation report.md
