ticket	review_rounds	rounds_with_blocking_findings	total_findings	repair_passes	implementation_passes	first_round_clean	source_files
18	6	6	56	5	6	no	TOO-45/reports/review-18-round1.md;TOO-45/reports/review-18-round2.md;TOO-45/reports/review-18-round3.md;TOO-45/reports/review-18-round4.md;TOO-45/reports/review-18-round5.md;TOO-45/reports/review-18-round6.md;TOO-45/reports/TOO-45 proposed ticket 18 - default multitoken prefix over-match - coder implementation report.md;TOO-45/reports/TOO-45 review-18 round1 repair - coder implementation report.md;TOO-45/reports/review-18-round2 repair - coder implementation report.md;TOO-45/reports/TOO-45 review-18-round3 repair - coder implementation report.md;TOO-45/reports/TOO-45 review-18-round4 repair - coder implementation report.md;TOO-45/reports/TOO-45 review-18-round5 repair - coder implementation report.md
39	3	3	32	3	4	no	TOO-45/reports/review-39-round1.md;TOO-45/reports/review-39-round2.md;TOO-45/reports/review-39-round3.md;TOO-45/reports/TOO-45 proposed ticket 39 - write guard ordinary-tier check.md;TOO-45/reports/TOO-45 review-39-round1 repair - coder implementation report.md;TOO-45/reports/TOO-45 punch-list 39 round 3 - coder implementation report.md;TOO-45/reports/TOO-45 punch-list 39 round 4 - coder implementation report.md
44	3	3	35	5	7		TOO-45/reports/review-44-round4.md;TOO-45/reports/review-44-round5.md;TOO-45/reports/review-44-round6.md;TOO-45/TOO-45 ticket 44 ambient facts - coder implementation report.md;implementation/TOO-45 ticket 44 broken isolation seam - coder implementation report.md;implementation/TOO-45 ambient repair pass - implementation report.md;TOO-45/reports/TOO-44 ambient prose repair pass 2 - coder implementation report.md;TOO-45/reports/TOO-45 review-44 round4 repair - implementation report.md;TOO-45/reports/TOO-45 review-44 round5 repair - coder implementation report.md;TOO-45/reports/TOO-45 ticket 44 round6 prose repair - implementation report.md
44-redrift-guard	1	1	5	0	1	no	TOO-45/reports/review-44-redrift-guard.md;implementation/TOO-44 follow-up - re-drift guard for TestDecisionReachesStdoutWhenCrashLoggingFails - coder-latest-implementation-report.md
74	2	2	22	1	2	no	TOO-45/reports/review-74-round1.md;TOO-45/reports/review-74-round2.md;TOO-45/reports/review-74-round1-repair.md;TOO-45/reports/TOO-45 ticket 74 (hook payload-key + empty-registry fail-open) - coder implementation report.md
77	3	1	23	1	5	yes	TOO-45/reports/review-77-grammar-phase1.md;TOO-45/reports/review-77-grammar-phase1-delta.md;TOO-45/reports/review-77-round1.md;TOO-45/reports/TOO-45 ticket 77 leading env assignment - phase 1 grammar - coder report.md;TOO-45/reports/TOO-45 ticket 77 grammar phase 1 M1+L1 - coder implementation report.md;TOO-45/reports/TOO-45 ticket 77 grammar phase 1 delta fold-in (M1 +=, L1, L2, L3) - coder implementation report.md;TOO-45/reports/TOO-45 ticket 77 phase 2 matcher - coder implementation report.md;TOO-45/reports/TOO-45 review-77 round1 repair - coder implementation report.md
78	5	5	57	5	7	no	TOO-45/reports/review-78-round1.md;TOO-45/reports/review-78-round2.md;TOO-45/reports/review-78-round3.md;TOO-45/reports/review-78-round4.md;TOO-45/reports/review-78-round5.md;TOO-45/reports/TOO-45 ticket 78 tilde-expanded variant - coder implementation report.md;TOO-45/reports/TOO-45 ticket 78 follow-up (three remaining pattern types) - coder implementation report.md;TOO-45/reports/TOO-45 review-78 round1 repair - coder implementation report.md;TOO-45/reports/TOO-45 review-78 round2 repair - coder implementation report.md;TOO-45/reports/TOO-45 review-78 round3 repair - coder implementation report.md;implementation/TOO-45 review-78 B1 tilde-after-redirect fix - coder implementation report.md;TOO-45/reports/TOO-45 revert redirect-glued tilde extension - coder implementation report.md
79	4	4	38	5	6	no	TOO-45/reports/review-79-round1.md;TOO-45/reports/review-79-round2.md;TOO-45/reports/review-79-round3.md;TOO-45/reports/review-79-round4.md;TOO-45/reports/TOO-45 proposed ticket 79 - command substitution ASK floor - coder implementation report.md;TOO-45/reports/TOO-45 ticket 79 sub-command breakdown regression fix - coder implementation report.md;TOO-45/reports/review-79-round1 repair - coder implementation report.md;TOO-45/reports/review-79-round2 fix - implementation report.md;TOO-45/reports/TOO-45 review-79-round3 repair - coder implementation report.md;TOO-45/reports/Review 79 round 4 blocking fix - coder implementation report.md
80	3	3	51	2	5	no	TOO-45/reports/review-80-round1.md;TOO-45/reports/review-80-round2.md;TOO-45/reports/review-80-round3.md;TOO-45/TOO-45 ticket 80 ambient routes - coder implementation report.md;implementation/TOO-45 ticket 80 ambient real-tree test - coder report.md;TOO-45/reports/TOO-45 ticket 80 finish (3 licensed test edits) - coder implementation report.md;TOO-45/reports/TOO-45 review-80 round1 prose repair - implementation report.md;TOO-45/reports/TOO-45 review-80 round3 prose repair - implementation report.md
14	0	0		0	1		implementation/TOO-45 ticket 14 residual - takeover notice routing - coder implementation report.md
19	0	0		1	2		implementation/TOO-45 ticket 19 P2+P3 - coder implementation report.md;implementation/TOO-45 ticket 19 repair round - coder implementation report.md
20a	0	0		1	1		implementation/TOO-45 ticket 20a repair round - coder implementation report.md
22	0	0		0	1		implementation/TOO-45 ticket 22 - redundancy report unsafe deletions - coder implementation report.md
32	0	0		0	1		TOO-45/TOO-45 ticket 32 item 1 - MigrationOutcome reason carrying - coder implementation report.md
38	0	0		0	1		implementation/TOO-45 ticket 38 fallback_kind prose-parsing fix - coder implementation report.md
42+47	0	0		0	1		TOO-45/TOO-45 tickets 42 and 47 - coder implementation report.md
45	0	0		0	1		implementation/TOO-45 proposed ticket 45 inert-mock static check - implementation report.md
70	0	0		0	1		implementation/TOO-45 ticket 70 punch-list item - coder implementation report.md
81	0	0		0	3		implementation/TOO-45 ticket 81 - coder implementation report.md;TOO-45/TOO-45 ticket 81 follow-up - coder implementation report.md;TOO-45/reports/TOO-45 ticket 81 residual re-measure - coder report.md
85	0	0		0	4		implementation/TOO-45 ticket 85 chunk A - coder implementation report.md;implementation/TOO-45 ticket 85 chunk B - coder implementation report.md;implementation/TOO-45 ticket 85 chunk C - coder implementation report.md;implementation/TOO-45 ticket 85 chunk D - coder implementation report.md
89	0	0		0	1		TOO-45/TOO-45 ticket 89 - word-boundary regex silently inert - coder implementation report.md
94	0	0		0	1		TOO-45/TOO-45 punch-list 94 validation_issues split - coder implementation report.md
95	0	0		0	1		implementation/TOO-45 Item 95 - split judge_unit - coder implementation report.md
96	0	0		0	1		implementation/TOO-45 proposed ticket 96 - coder implementation report.md
97	0	0		0	1		TOO-45/TOO-45 Item 97 Step 3 - kind means only fact 1 - coder implementation report.md
98	0	0		0	1		implementation/TOO-45 ticket 98 chunk 3 - module boundary move - coder implementation report.md
99	0	0		0	1		implementation/TOO-45 ticket 99 - coder implementation report.md
100	0	0		0	1		implementation/TOO-45 ticket 100 - coder implementation report.md
101	0	0		0	1		implementation/TOO-45 ticket 101 bare-brace grammar fix - coder implementation report.md
105	0	0		0	2		implementation/TOO-45 ticket 105 phase 1 - coder implementation report.md;implementation/TOO-45 ticket 105 - coder implementation report.md
punch-01	0	0		0	3		implementation/TOO-45 punch-list #01 suppression store - implementation report.md;implementation/TOO-45 punch-list #01 suppression store follow-up - implementation report.md;implementation/TOO-45 punch-list #01 suppression store — implementation report (pass 4).md
punch-03	0	0		0	1		implementation/TOO-45 punch-list 03 stages 2+4 - coder implementation report.md
punch-04	0	0		0	1		implementation/TOO-45 punch-list 04 error reporter - coder implementation report.md
punch-07	0	0		0	1		implementation/TOO-45 punch-list 07 test tier - coder implementation report.md
punch-15	0	0		0	1		implementation/TOO-45 punch-list 15 migrate lock - coder implementation report.md
